time,rpm,tps,water,a/f
04:33.8,7637,45,89,15.61375
04:33.9,7751,44,89,15.0885
04:34.0,7992,44,89,16.74125
04:34.1,8036,40,89,15.10225
04:34.2,6985,12,89,18.53975
04:34.3,6936,12,89,19.54625
04:34.4,6786,13,89,20.8085
04:34.5,6585,13,89,17.36
04:34.6,6011,20,89,16.71375
04:34.7,5355,32,89,17.91
04:34.8,5286,28,89,13.8125
04:34.9,5320,10,89,11.26325
04:35.0,5148,12,89,12.99575
04:35.1,4596,12,89,15.8805
04:35.2,4702,12,89,16.7
04:35.3,4448,12,89,15.116
04:35.4,4492,12,89,13.76025
04:35.5,4426,15,89,15.06375
04:35.6,4382,15,89,14.4725
04:35.7,4471,18,89,14.06825
04:35.8,4603,18,89,15.37175
04:35.9,4833,18,89,13.6805
04:36.0,4844,18,89,12.94075
04:36.1,4993,30,89,13.21025
04:36.2,5191,33,89,14.269
04:36.3,5283,33,90,14.1755
04:36.4,5249,33,90,11.7335
04:36.5,5456,33,90,12.91325
04:36.6,5567,35,90,13.42475
04:36.7,5857,36,90,12.4045
04:36.8,6129,36,90,14.21675
04:36.9,6392,36,90,14.55225
04:37.0,5830,7,90,15.12975
04:37.1,5762,7,90,16.71375
04:37.2,5203,7,90,19.60125
04:37.3,4111,18,90,20.407
04:37.4,4858,27,90,19.5875
04:37.5,5185,27,90,21.03675
04:37.6,5044,27,90,12.7675
04:37.7,4851,6,90,12.48425
04:37.8,4275,10,90,14.15075
04:37.9,4604,23,90,20.58025
04:38.0,4887,23,90,14.874
04:38.1,4516,7,90,12.99575
04:38.2,4248,9,90,13.33125
04:38.3,4336,13,90,20.231
04:38.4,4620,19,90,21.03675
04:38.5,4410,26,90,18.405
04:38.6,4767,33,90,15.2095
04:38.7,5063,33,90,14.1755
04:38.8,5176,33,90,11.8655
04:38.9,5260,34,90,12.8885
04:39.0,5344,32,90,13.45225
04:39.1,5482,27,90,11.90675
04:39.2,5537,27,90,13.598
04:39.3,5911,27,90,14.39
04:39.4,6097,34,90,13.532
04:39.5,6399,34,90,14.995
04:39.6,6476,34,90,14.511
04:39.7,6604,37,90,13.90875
04:39.8,6512,26,90,15.3305
04:39.9,6241,25,90,14.137
04:40.0,6321,25,90,14.016
04:40.1,6254,26,90,16.68625
04:40.2,6334,29,90,14.753
04:40.3,6539,34,90,15.413
04:40.4,6722,34,90,15.27825
04:40.5,6791,34,90,13.9225
04:40.6,6972,34,90,15.292
04:40.7,6447,7,90,14.5385
04:40.8,5961,8,90,15.2645
04:40.9,5739,12,90,21.03675
04:41.0,6291,32,90,20.99825
04:41.1,6167,33,90,19.7085
04:41.2,6330,32,90,14.72825
04:41.3,6200,19,90,15.5725
04:41.4,5832,12,90,15.424
04:41.5,5924,11,90,20.51425
04:41.6,5642,11,90,19.41425
04:41.7,5692,34,90,19.56
04:41.8,6151,42,90,19.4005
04:41.9,6013,26,90,11.6125
04:42.0,5977,26,90,11.35675
04:42.1,6639,39,90,11.50525
04:42.2,7017,32,90,12.21475
04:42.3,6595,13,90,14.04075
04:42.4,6208,13,90,13.08925
04:42.5,6155,14,90,17.80275
04:42.6,6188,21,90,15.787
04:42.7,5585,6,90,18.47375
04:42.8,5529,8,90,19.53525
04:42.9,5304,8,90,20.84975
04:43.0,5182,11,90,20.00275
04:43.1,5121,14,90,19.66725
04:43.2,5093,14,90,21.012
04:43.3,5104,14,90,19.857
04:43.4,5328,48,90,17.26375
04:43.5,5929,58,90,10.63075
04:43.6,6131,58,90,11.08725
04:43.7,6268,58,90,12.87475
04:43.8,7001,58,90,14.2305
04:43.9,7358,59,90,15.15725
04:44.0,7665,60,90,13.90875
