ダウンロードした時刻：2023/06/15 11:19:33

,西宮,西宮,西宮
年月,日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm)
,,,
,,品質情報,均質番号
2021/5,69.0,8,1
2021/6,36.5,8,1
2021/7,61.0,8,1
2021/8,80.5,8,1
2021/9,44.5,8,1
2021/10,36.5,8,1
2021/11,45.0,5,1
2021/12,18.0,8,1
2022/1,13.0,8,1
2022/2,10.5,8,1
2022/3,42.0,8,1
2022/4,43.5,8,1
2022/5,21.0,8,1
2022/6,49.5,8,1
2022/7,130.5,8,1
2022/8,46.0,8,1
2022/9,27.0,8,1
2022/10,35.0,8,1
2022/11,58.0,8,1
2022/12,9.0,8,1
2023/1,30.0,8,1
2023/2,11.5,8,1
2023/3,20.5,8,1
2023/4,69.5,8,1
2023/5,151.5,8,1
